crime_type,date,forecast_count
Fraud,2025-09-30,3.961646303645084
Fraud,2025-10-31,5.070209852068691
Fraud,2025-11-30,5.485152426197493
Fraud,2025-12-31,5.640468140907284
Fraud,2026-01-31,5.698603826999417
Fraud,2026-02-28,5.720364393879066
Burglary,2025-09-30,5.17751636008601
Burglary,2025-10-31,4.988861972277415
Burglary,2025-11-30,5.019087011390108
Burglary,2025-12-31,5.014244542577293
Burglary,2026-01-31,5.015020372977897
Burglary,2026-02-28,5.01489607422993
Robbery,2025-09-30,5.70056196190417
Robbery,2025-10-31,5.648388232457994
Robbery,2025-11-30,5.649396207125016
Robbery,2025-12-31,5.649376733475344
Robbery,2026-01-31,5.649377109698124
Robbery,2026-02-28,5.649377102429657
Assault,2025-09-30,5.397069179365691
Assault,2025-10-31,5.2289603821392685
Assault,2025-11-30,5.249188849077281
Assault,2025-12-31,5.246754765427803
Assault,2026-01-31,5.247047657777521
Assault,2026-02-28,5.247012414153686
Theft,2025-09-30,5.153610350160752
Theft,2025-10-31,5.272458043131882
Theft,2025-11-30,5.279016692018161
Theft,2025-12-31,5.2793786332064006
Theft,2026-01-31,5.279398607049492
Theft,2026-02-28,5.279399709312569
