latitude,longitude,cluster
12.916233345526855,77.58790806250656,4
12.867216439493344,77.42934445617884,1
12.897557870580524,77.64420902117143,2
13.004071368818655,77.55178165193665,4
13.085692176042036,77.43434982777971,3
12.997039038077611,77.47031519098135,3
12.85873228305461,77.62123214243651,2
13.09800604056164,77.44329077261193,3
12.907891905383549,77.50232815458156,1
12.837574897929237,77.41518435558739,1
13.067927419357613,77.63693080615947,0
13.096649497897026,77.60305310540974,0
12.996914941924766,77.45401714224121,3
12.82346639332631,77.49882865595234,1
12.9597626331032,77.57913945512676,4
12.882123323436382,77.57343071403763,2
12.84042101643141,77.65497219797139,2
12.963810766676271,77.4373235882029,3
12.819897277764698,77.69387356051833,2
12.892723704340945,77.62298760369238,2
13.013308432599567,77.58582914734761,4
12.908415298995086,77.59000055632625,2
13.058111732038157,77.60583522661378,0
12.921970099108538,77.56821139804511,4
12.93322497853622,77.66194946157917,2
12.808015480525208,77.50023110017635,1
13.071761362312133,77.6971371359346,0
13.04186995588506,77.45207480875614,3
12.972506961614188,77.51351844765989,4
12.889406487386076,77.60994207090631,2
13.071298052721575,77.6819670300733,0
12.949639923230862,77.64898860289196,0
13.062055358235035,77.4641084522033,3
12.90756055079406,77.62513058524928,2
13.008433823120818,77.68860396089295,0
13.035615884025566,77.69990773595872,0
12.999045057384516,77.53414081207603,4
12.890369149110784,77.66153792589039,2
13.010712249823875,77.55396368415988,4
12.947563470278842,77.43211826079464,1
13.018284168766533,77.47959437522694,3
13.00557912799264,77.61277146728003,0
13.012101273263465,77.54170493140198,4
12.945481644596216,77.42485494506806,1
13.08332589949804,77.63993909628907,0
12.952643205775113,77.54639717131063,4
12.957308334678372,77.45047302533244,3
13.066319772025071,77.57722895785774,0
12.9669722188965,77.6987711113192,0
12.818500873727269,77.47538225069897,1
13.081420021535276,77.54553011319506,3
13.051298613975623,77.66418656210078,0
12.917371517098369,77.65225262639346,2
12.958800296297808,77.6844579579093,0
12.920943533162648,77.5939013581804,4
13.074700649377306,77.4238235979586,3
12.82225708427664,77.57235251668621,2
12.809255671207913,77.57912874930719,2
12.971092496943616,77.56370927333725,4
13.01926757925112,77.58687867806708,0
13.035275204056177,77.44704512675142,3
12.810268637474222,77.63608195566334,2
12.894127984643047,77.6943111380659,2
13.022995664908718,77.46469907682291,3
12.822674324702673,77.57792800033754,2
13.082810850155244,77.42976713273158,3
12.958121516404525,77.65565727167112,0
12.989180600088323,77.69820776495264,0
12.996839736338174,77.6089049930296,0
12.926639456194968,77.65717831840598,2
13.06139095003794,77.40865812487544,3
13.075015707802478,77.46789388618222,3
12.84174742960823,77.69181854540892,2
12.880012065656375,77.69144418333569,2
12.99788759282222,77.66077732710286,0
12.907221110223542,77.46369287476927,1
12.853010165056697,77.45974419040309,1
12.896160317304028,77.69605979136094,2
12.940629167222816,77.59927393595244,4
13.006198605258987,77.56833042095637,4
12.907116266425149,77.64517281070913,2
12.90444524460642,77.64568831507502,2
12.892633310370533,77.54341101286076,4
13.0541099375394,77.68910918246787,0
12.8786004852152,77.50491894317061,1
12.809112791259777,77.64736189234848,2
12.823955399449012,77.42074840046438,1
12.840454138932094,77.65382694259574,2
13.025041326725315,77.57799757612459,4
13.006297146269183,77.56433868773692,4
12.93393586198845,77.55658353840693,4
12.966808281887078,77.40037091868761,3
12.92250502466689,77.60738000176313,2
13.04464023893592,77.41325648999958,3
12.94916998305104,77.44447884803616,1
12.802478594368331,77.65598420738212,2
12.864104628818392,77.67837784967223,2
13.051625420300631,77.50896452368269,3
12.957101395095926,77.67597884499678,0
12.96769626915981,77.47290290154857,3
12.823254248038817,77.63189904083794,2
12.998619983989514,77.57066303349112,4
13.038971552254258,77.65753671231928,0
13.015463126038805,77.51903071688129,3
13.055752610264609,77.53107761031501,3
13.021162235811412,77.43991514772843,3
12.934397640643851,77.59755206012058,4
12.982869078054811,77.40838702748069,3
13.075864526719434,77.62628158660846,0
12.921745746868906,77.50357452904372,1
12.92582355714682,77.64799567783938,2
13.06937582116104,77.49463139362999,3
12.943795496388388,77.49519314926104,4
12.869504699185786,77.65199355482262,2
13.02652839418698,77.64142806459083,0
12.963168623046696,77.52971341169876,4
13.087865213978572,77.64882903391444,0
12.987525250991135,77.46886945937821,3
12.809202455180666,77.5800530841173,2
12.950174251051296,77.41481863688142,1
13.004957431831496,77.47771749715258,3
13.034891197847776,77.66787670004881,0
12.972915352709542,77.55827503138703,4
13.089488751192832,77.54776024341005,3
12.9768908378726,77.4985376579214,4
12.994647294373037,77.60966509505101,0
13.008456780997044,77.6229717345358,0
12.88245629469384,77.54434738568632,2
13.044050228652257,77.52090851061628,3
12.87957853339175,77.48701389608365,1
13.08480785826641,77.60768747164165,0
12.826582521722276,77.66980783910107,2
12.846067970411152,77.58647483345229,2
12.971779366666478,77.52690181436677,4
13.012665127399798,77.65437770793247,0
12.824545066735638,77.67422824855306,2
12.880232161555645,77.46519606298472,1
12.92353489077312,77.43812685532046,1
12.807708335527783,77.64762361899031,2
12.95979138702035,77.62786931138206,4
12.83353514116948,77.56109510366815,2
12.839074655800331,77.43593467566438,1
13.086393907326867,77.48144163681741,3
12.879330767131451,77.44271066518317,1
13.001492024672856,77.55372804067491,4
12.977663105855582,77.55299845309368,4
12.86002489571727,77.4920037853042,1
12.876693975084011,77.43508432324937,1
12.853884934077138,77.63916119521424,2
13.03642844684016,77.49808273682208,3
12.94977279506264,77.52620960291688,4
13.074210848085544,77.65619464255641,0
12.995998768920044,77.65150496256324,0
12.845584879806156,77.56538919344723,2
13.039401479148802,77.47478446341817,3
12.991312456802811,77.44320337159053,3
12.916756698627845,77.46166325233723,1
12.86298811491866,77.60260948913346,2
12.99727416672544,77.6859290455097,0
13.047890938808784,77.40143944241052,3
13.00345802148104,77.45963732948891,3
13.028697001922705,77.47666021519031,3
12.949594011018094,77.67043287146184,0
13.061892417874995,77.63429116112388,0
13.060113920825724,77.5993317568549,0
12.827050452713976,77.5369490502728,1
12.987989160550631,77.61453276395333,0
13.021031521559326,77.5676267621881,4
13.077901619275387,77.47735227800594,3
13.051537204257448,77.56623994535421,0
12.991389565253195,77.6145368180075,0
13.08145752587118,77.63295818351244,0
13.002094967821272,77.59424648777636,4
12.965554732377525,77.5152299016361,4
12.8738640526241,77.48162587676133,1
12.909786335971503,77.59376347890972,2
12.839988258150557,77.52009784439362,1
12.830461697221445,77.45800292360695,1
13.002677898573891,77.66725490275662,0
13.00447073309614,77.57897128612372,4
12.919850935219705,77.44117917306318,1
12.904467818154266,77.56659727383727,4
12.824762707583703,77.54088172887135,2
